transaction_id,date,product_sku,product_category,quantity,unit_price,discount_pct,net_revenue,customer_id,region,state,channel,return_flag,stock_constrained,year,month,year_month,day_of_week,gross_revenue
TXN-0000001,2023-01-01,SHAN-CHICKEN-MASALA,Spice Mixes,1,1945.72,0.0217,1903.5,RET-05001,East,Odisha,offline,False,False,2023,1,2023-01,Sunday,1945.72
TXN-0000002,2023-01-01,CHOCO-BEAN-PETJAR-FEDER-20X6,Confectionery,2,744.95,0.0198,1460.4,RET-05002,North,Delhi,offline,False,False,2023,1,2023-01,Sunday,1489.9
TXN-0000003,2023-01-01,DRINKO-330ML-PINEAPPLE,Beverages,1,588.45,0.0064,584.68,RET-04547,West,Rajasthan,offline,False,False,2023,1,2023-01,Sunday,588.45
TXN-0000004,2023-01-01,FROOTO-MANGO-500ML-24PCS,Beverages,2,529.23,0.0249,1032.1,RET-05003,North-East,Assam,offline,False,False,2023,1,2023-01,Sunday,1058.46
TXN-0000005,2023-01-01,MR-NOODLES-60GM-KOREAN-SPICY-48PCS,Culinary,24,642.35,0.0254,15024.82,RET-00995,South,Kerala,online,False,False,2023,1,2023-01,Sunday,15416.400000000001
TXN-0000006,2023-01-01,POTATA-BISCUIT-75GM-48PCS,Bakery & Biscuits,1,559.47,0.0715,519.47,RET-05004,West,Gujarat,online,False,False,2023,1,2023-01,Sunday,559.47
TXN-0000007,2023-01-01,LITCHI-DRINK-250ML-48PCS,Beverages,22,488.93,0.0161,10583.28,RET-03022,North,Delhi,offline,False,False,2023,1,2023-01,Sunday,10756.460000000001
TXN-0000008,2023-01-01,POTATA-CREAM-ONION-75GM-48PCS,Bakery & Biscuits,5,582.32,0.0577,2743.6,RET-01140,North,Punjab,offline,False,False,2023,1,2023-01,Sunday,2911.6000000000004
TXN-0000009,2023-01-01,PRAN-FAZLEE-MANGO-500ML-24PCS,Beverages,2,679.57,0.018,1334.68,RET-01271,West,Goa,offline,False,False,2023,1,2023-01,Sunday,1359.14
TXN-0000010,2023-01-01,POTATA-BISCUIT-75GM-48PCS,Bakery & Biscuits,46,517.56,0.0466,22698.32,RET-05005,South,Kerala,offline,False,False,2023,1,2023-01,Sunday,23807.76
TXN-0000011,2023-01-01,CUP-NOODLES-40GM-CHICKEN-48PCS,Culinary,4,874.41,0.0752,3234.62,RET-03557,East,Jharkhand,offline,False,False,2023,1,2023-01,Sunday,3497.64
TXN-0000012,2023-01-01,CHOKI-STIX,Confectionery,1,330.0,0.0661,308.19,RET-05006,West,Rajasthan,online,False,False,2023,1,2023-01,Sunday,330.0
TXN-0000013,2023-01-01,MR-NOODLES-60GM-KOREAN-SPICY-48PCS,Culinary,5,643.92,0.0267,3133.64,RET-05007,West,Gujarat,offline,False,False,2023,1,2023-01,Sunday,3219.6
TXN-0000014,2023-01-01,CHOKI-CHOKI-XL,Confectionery,4,340.78,0.0431,1304.37,RET-01840,West,Gujarat,offline,False,False,2023,1,2023-01,Sunday,1363.12
TXN-0000015,2023-01-01,MALKIST-AMERICAN-STYLE-48PCS,Bakery & Biscuits,3,856.02,0.0135,2533.39,RET-05008,West,Rajasthan,online,False,False,2023,1,2023-01,Sunday,2568.06
TXN-0000016,2023-01-01,SHAN-SHAMI-KABAB,Spice Mixes,7,1623.06,0.0111,11235.31,RET-00847,South,Tamil Nadu,online,False,False,2023,1,2023-01,Sunday,11361.42
TXN-0000017,2023-01-01,PRAN-MANGO-FRUIT-500ML-24PCS,Beverages,2,699.03,0.0437,1336.96,RET-01283,South,Telangana,offline,False,False,2023,1,2023-01,Sunday,1398.06
TXN-0000018,2023-01-01,MR-NOODLES-50GM-CHICKEN-MASALA-60PCS,Culinary,2,664.3,0.0379,1278.25,RET-05009,West,Gujarat,online,False,False,2023,1,2023-01,Sunday,1328.6
TXN-0000019,2023-01-01,DRINKO-250ML-LITCHI-COCONUT,Beverages,2,418.37,0.0584,787.87,RET-05010,West,Rajasthan,online,False,False,2023,1,2023-01,Sunday,836.74
TXN-0000020,2023-01-01,MALKIST-CHEESE-25MRP-48PCS,Bakery & Biscuits,46,568.06,0.0856,23893.97,RET-01200,West,Maharashtra,offline,False,False,2023,1,2023-01,Sunday,26130.76
TXN-0000021,2023-01-01,SHAN-CHICKEN-MASALA,Spice Mixes,2,1936.93,0.0704,3601.14,RET-00204,East,Jharkhand,offline,True,False,2023,1,2023-01,Sunday,3873.86
TXN-0000022,2023-01-01,MILK-KANDEEZ-3.5GM-6JAR,Confectionery,1,401.66,0.0183,394.31,RET-05011,Central,Chhattisgarh,offline,False,False,2023,1,2023-01,Sunday,401.66
TXN-0000023,2023-01-01,SHAN-TIKKA-BOTI,Spice Mixes,3,1838.15,0.0167,5422.36,RET-00348,West,Gujarat,offline,False,False,2023,1,2023-01,Sunday,5514.450000000001
TXN-0000024,2023-01-01,GARLIC-TOAST-200GM-28PCS,Bakery & Biscuits,2,591.51,0.0779,1090.86,RET-02094,North-East,Tripura,offline,False,False,2023,1,2023-01,Sunday,1183.02
TXN-0000025,2023-01-01,MR-NOODLES-60GM-SUPER-SPICY-48PCS,Culinary,2,669.06,0.013,1320.72,RET-04514,North,Punjab,offline,False,False,2023,1,2023-01,Sunday,1338.12
TXN-0000026,2023-01-01,LITCHI-DRINK-150ML-72PCS,Beverages,6,517.77,0.0228,3035.79,RET-05012,South,Andhra Pradesh,online,False,False,2023,1,2023-01,Sunday,3106.62
TXN-0000027,2023-01-01,MR-NOODLES-60GM-KOREAN-SPICY-48PCS,Culinary,2,682.68,0.0104,1351.16,RET-05013,West,Goa,offline,False,False,2023,1,2023-01,Sunday,1365.36
